talker.id,gender,p.cog_hz,b.cog_hz,t.cog_hz,d.cog_hz,k.cog_hz,g.cog_hz,p.vot_ms,b.vot_ms,t.vot_ms,d.vot_ms,k.vot_ms,g.vot_ms,p.f0_hz,b.f0_hz,t.f0_hz,d.f0_hz,k.f0_hz,g.f0_hz
80,F,852.902064160947,1088.59019300829,951.676515971683,1781.501890581,845.813743596824,1051.27609787586,21.1442556963232,4.85789828368688,25.5316032437643,10.9395952695882,21.8012035428066,12.4259919769555,36.948370422558,21.2172198753798,24.5002270834414,33.7271357023983,45.8238145558442,53.5290509531468
81,F,611.697913354171,668.349242327348,846.61314261529,1275.20525128612,586.221020267453,787.988504855792,21.4750196877263,3.44088239883568,25.1410140653901,8.51390658615961,20.0635620004733,7.51037774397893,28.8985407206607,29.6740837220232,44.9416907222474,32.836047894107,42.2384209398171,34.706981857965
82,F,773.903399084794,976.292617555143,914.419914176692,1471.16734354558,737.726654916111,695.013842276302,23.1350626571512,5.91752851214365,34.4498042040644,8.72148711341216,23.9459320983897,10.958378990896,27.0328447840654,28.2907621619684,32.170796321381,27.5702337859384,31.8107762394428,30.8968391126944
83,F,508.326530774041,701.552080645323,655.891313728964,1252.9923804121,596.718773679853,742.147985352265,20.133704313479,3.65738045065776,18.6924518215711,11.0703629562148,18.1119784075221,10.8754735001366,20.2594666386704,23.7995696737039,14.473477867843,25.7446406066101,26.9923733588196,25.3316677055132
84,F,733.685808407469,403.909574083775,726.223217254665,1777.7627385806,1107.72348104048,949.107779272141,20.7845095827991,2.61953665196839,19.7990105236301,8.95674706873785,22.5876348068831,5.99890124935902,59.0929046570153,24.2310763013313,28.2813142686685,58.1025166504637,58.2754438597723,54.4443725383475
85,F,824.330228918124,1082.1933350526199,876.674334872819,1563.89121656644,1008.91872268573,970.116452297253,21.2286454405194,5.52758596691568,24.8522916305091,9.37436327772464,19.8157155675708,8.98488379187242,28.4649622959765,41.7542826093145,31.3652509485462,64.0838398658477,36.274447904868,53.4975777320506
86,M,922.228189613348,1067.69791229554,1185.62936294716,1523.53484559354,620.742333128752,737.321086594427,22.8846583063306,5.54818777547107,25.1057385204383,11.0222876597543,21.3907347344617,9.57068064850898,23.4122752583081,16.3963006640162,41.8733368874205,23.2102659967619,30.2271535665181,20.8166920772293
87,F,708.644568351441,259.92172207272,1076.97141652625,985.601079549058,599.592421390767,731.876009923034,15.7311851535593,3.41392764434409,17.795931984456,8.59569986199,19.0729632814298,8.72662663036192,27.3459820100227,16.9685189239048,33.7796767078871,34.0223962071034,37.6615601840208,27.1616917683783
88,F,729.864956119885,887.406458197713,1509.20443386196,1335.18757188212,953.198163270382,1080.85061892323,19.5269737019554,4.48171960785676,20.4051943435049,9.3823924226771709,22.9360753894088,9.47675929502198,49.6412343886032,45.2448214352473,44.6747418774205,53.9970905014535,56.1004717874617,44.9535455943739
89,F,713.703668301695,926.511809269798,1459.60705712473,1641.57791489719,944.074693806515,878.811222098351,16.5446631030325,5.47546493491494,19.6306738049722,7.98373852147627,19.1219801564651,10.471090433011,51.984735911711,43.7915983542061,51.2097956324677,50.1004629545306,23.6966792888565,53.613562001382
90,F,644.314685559293,881.485482959794,565.517861174547,1718.19826805645,987.013468916907,973.882954547588,22.8555571154593,3.30181121913122,25.1523712653908,8.20309096871303,22.0230245959614,9.19450298460367,29.2057318172599,38.025419655261,25.7329452130396,30.8596074659981,32.5067185655992,47.0068360259521
91,F,714.141374716086,704.536029323678,1028.92857941125,1664.42016811585,698.339285694155,677.249495470481,16.8262928172094,5.34121086993991,16.7584923476397,9.43181755175735,16.4929644430361,11.4823210884447,51.8430783410771,54.8645141832743,54.6175205698627,54.5558561874744,63.6966077705457,53.8663831042704
92,F,718.002008898073,1010.01335320842,659.610343314437,1790.34699438384,822.376193353888,998.763705519016,21.2481450677721,2.97348412946371,26.438201779938,9.82389601753303,23.5207716089394,9.2489386396848,49.0038263562867,49.8339773415616,46.3273606058575,39.8782449452243,54.7172354199723,66.437159605021
93,F,526.334699034956,617.693571984894,922.767929379766,1272.86198297264,615.875741616985,832.418089717454,13.645842575064,4.35304103243887,12.6506055207205,8.05481792592769,15.8050387422977,9.33880252616231,26.2912455644317,19.2178802175079,23.8267625863535,24.5206190893941,33.6525003759692,24.7981191441073
94,F,352.638646760001,701.517905983041,870.005518146551,1163.2249296097,538.982876730566,581.662793353037,17.6428221682433,5.84638080058646,13.4536302323484,8.33158954836482,16.4771736895685,7.91592886300133,50.7955091860598,18.4263735061769,28.9070719947844,29.5279680916211,32.7815420854387,26.4519823661148
95,F,572.792420739952,1003.84916079786,576.214520411741,1251.29417257024,450.241242791482,480.193716296136,23.799078106545,4.20672133252493,16.3463795740186,9.65422017319125,19.4439239420954,6.99872170743898,30.7897051063815,33.7041464832512,25.3279445056334,37.6164718054721,42.135389715257,31.3301142400959
96,F,640.21964191121,569.999967575881,948.883241253227,1430.85517606897,972.867740432775,819.474752790782,14.7181860295366,2.72093363636342,15.0136413840659,8.49846629456299,12.3605412969527,8.16320037186585,NA,30.0862838408126,NA,37.4445818954173,54.8012550053413,24.0656841268374
97,M,695.93712238304,742.276774053141,1046.40523162927,1294.54276423655,685.257776707282,617.514487009266,14.5281825471698,4.89359860881719,19.1640345539543,6.45797625469739,18.5186821847786,10.3563066182979,29.1546319618817,25.2127739133998,31.8328564030258,31.7825311409806,25.7946396372887,31.4173888738287
